company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Placida Lettis Luce,,Instagram: @placida.lettis.lucek/a> Placida Lettis Luce - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://placidalettisluce.com,,,
Plutoraker,,"Furniture and Lighting from the 20th Century in Frankfurt/Main. Mostly from the 1950s, -60s and -70s in good original condition.",,,,,,
Puttenaers,,"In 2020, the duo Charlotte and Jody Puttenaers took over their grandfather's antique business and transformed it into a store with art gallery. Bar antik and Puttenaers gallery represent an eclectic mix of styles. They sell a wide variety of antiques, design, eccentricities & art from the 17th to 21st century.",,,https://puttenaers.com,,,
REDESIGNABLE,,Website: redesignable.com,,,https://redesignable.com,,,
REDESIGNS,,Website: redesigns.be,,,https://redesigns.be,,,
Ritter Studio,,Website: ritter-studio.com,,,https://ritter-studio.com,,,
Robin de Cock,,"Antiques, vintage and design.",,,https://robindecock.com,,,
RoomLight Design,,Furnitures from the 20e centuary.,,,https://roomlightdesign.com,,,
Rénu,,"Rénu is humbly established by Christophe Glorieux’ intuitive passion for personal interiors and interior items with a story. He has always been intrigued by how the pieces and their arrangement in a space can uplift the atmosphere. A great interest in art and design, and especially the story behind it grew out of this.",,,,,,
Saskia Boxy,,Website: www.saskiaboxy.nl,,,https://saskiaboxy.nl,,,
Scandi Lab,,Website: www.scandilab.nl,,,https://scandilab.nl,,,
Simons’ atelier,,Instagram: @De_looi/a> Simons' atelier - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Sprinkelhop,,Website: www.sprinkelhop.nl,,,https://sprinkelhop.nl,,,
Stilelite,,Scandinavian Mid Century Design Classics and Vintage Furniture from the 1950s - 1980s,,,https://stilelite.de,,,
Studio Cadmium,,"Studio Cadmium was established in 2013 by Wouter Stoffels and is located in the city of Echt, in the southern region of the Netherlands. We have built our reputation on specializing in luxury 20th century design furniture, lighting and other objects from France, Italy and Brazil.",,,https://studiocadmium.com,,,
Studio Collectables,,Website: www.studiocollectables.shop,,,https://studiocollectables.shop,,,
Studio Daniele Cochard,,Website: www.danielecochard.com,,,https://danielecochard.com,,,
Studio Duin,,Studio Duin vintage. Character/signature vintage furniture.,,,https://studioduin.net,,,
Studio Loca,,Website : www.studioloca.be,,,https://studioloca.be,,,
Studio Menzel,,Website: studiomenzel.com,,,https://studiomenzel.com,,,
Studio Rafe Furniture,,For the design and mid-centuary items.,,,,,,
StudioTOUT,,Instagram: @studiotout StudioTOUT - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://studiotout.com,,,
Stuffffdeluxe,,"From Darmstadt/RheinMain offers home treasures from the past decades. Strong character pieces, well-known design, vintage originals. Discover furniture, lamps, home accessories with chic, charm and history.",,,https://stuffffdeluxe.com,,,
Swoon Vintage Design,,Website : www.swoonvintagedesign.com,,,https://swoonvintagedesign.com,,,
T&T Antiques,,Website: www.tt-antiques.nl,,,https://tt-antiques.nl,,,
The Living Room,,Instagram : @thelivingroom.oostende The Living Room - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
The Millen House,,"Art, objects and collectable design curated by Niek Schoenmakers.",,,https://themillenhouse.com,,,
Thierry Belenger,,,,,,,,
Three Bays Gallery,,Website: threebaysgallery.com,,,https://threebaysgallery.com,,,
Touche Collectables Design,,"Touche_collectables_design, is an online gallery with a particular affinity to sculptural furniture and objects. The collection ranges from iconic designer pieces to anonymous finds from the 1920s to the present day.",,,https://collectible.design,,,
Twentymodern,,Instagram: @twentymodernk/a> Twentymodern - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Un Cercle Rouge,,Arts décoratifs du XXème siècle.,,,https://uncerclerouge.tumblr.com,,,
VAN ONS,,"Specialising in the restoration and sale of high quality vintage design furniture, lighting and home accessories. Selling Mid Century Dutch & Scandinavian modern design.",,,,,,
Vervlogen jaren,,Website : www.vervlogenjaren.com,,,https://vervlogenjaren.com,,,
