exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,profile_url,event_source,event_year,profile_checked
ATELIER SCAMMIT,rascol.com,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 F051,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ATELIER-SCAMMIT-7,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Atelier Tourmaline,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Atelier-Tourmaline-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
ATELIER ZINZOLINE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 B030,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ATELIER-ZINZOLINE,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
AU CHAS CREATIF,3b-com.com,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/AU-CHAS-CREATIF-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
AUGUSTE ET JUNE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 K030,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/AUGUSTE-ET-JUNE-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
AUGUSTINE ET BALTHAZAR,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 F044,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/AUGUSTINE-ET-BALTHAZAR-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Aurélie Chadaine,,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Aurelie-Chadaine-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
AVENTURA EDITIONS,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/AVENTURA-EDITIONS-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
AVRIL FABRICS,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 K028,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/AVRIL-FABRICS-6,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
BASILIC & LEON,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/BASILIC-and-LEON-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
