company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Drei Bond GmbH,901,"DREI BOND is your one-stop shop for the COMPLETE BONDING PROCESS. We are the only company that can fully support, supply, and service your needs in: ADHESIVES, DOSING SYSTEMS & SERVICES. Our goal is to provide secure full solutions by delivering a comprehensive bonding solution from a single, reliable source.",,,https://dreibond.de,"Carl-Zeiss-Ring 13, 85737",Ismaning,
"DunAn Vehicle Thermal Management Tech Co., Ltd.",933,"DunAn Vehicle Thermal Management Tech Co., Ltd., founded in 2017, is a wholly-owned subsidiary of DunAn Artificial Environment Co., Ltd. Drawing on the parent company’s over 30 years of HVAC expertise, DunAn provides high-efficiency thermal management solutions for new energy vehicles , including refrigerant valves, coolant pumps and coolant valves.",,,,"5th Floor, Building 26, DunAn Vehicle Thermal Management Tech Co., Ltd.,Intelligent Vision Industrial Park,No.9 Xingnong Road, Jiyang Subdistrict,Zhuji City, Shaoxing City,Zhejiang Province, P.R.China, 311800","Zhuji City, Shaoxing City,Zhejiang Province, P.R.China",
Durfoam Insulation & Packaging Co,427,"Having one of the most modern Polyethylene (PE) foam production facility of Turkey and Europe Durfoam, creates ""insulation"" solutions for the industries ranging from automotive to construction industry, packaging to home appliances industry. Durfoam, producer of Physically (IXPE-Durprox), Chemically (XLPE-Dursolex) and Non Crosslinked PE Foam(NPE-Durpack) at the same facility.",,,,"Hasanaga OSB Mah. 16.Cadde No:4 Nilufer, 16280",Bursa,
EKSEN TEKNIK SUNGER SANAYI VE TICARET AS,617,"EKSEN is the leading manufacturer of flexible, open-celled flame proof (Class O, UL94, M1 certified) polyurethane foam under Procell® brand. The product range addresses various usage areas like HVAC systems & air-ducts, enclosures of power generators & compressors, indoor space acoustic solutions, railways, automotive, marine, construction industries.",,,,"Orhan Mah.Gulsum Sok. No.14 Tuzla Istanbul, 34596",Tuzla,
Enplas Corporation,840,Enplas Corporation is a solution provider of high-precision technology. We will showcase sample thermal solutions utilizing advanced 3D metal fabrication technology. Visit our booth to discover our latest innovations and engineering expertise. We look forward to welcoming you and discussing solutions for your thermal management challenges.,,,https://enplas.co.jp,"Shin-Marunouchi Center Bldg. 9F, 1-6-2 Marunouchi, Chiyoda-ku,, 100-0005",Tokyo,
EVA GLORY,316,"EVA GLORY is a 50 years EVA/PE foam innovation and manufacturing expert. Our major advantage is to offer customers an OEM/ODM total solution from product prototyping, material selection consultation, and mass production－ a one-stop-shop service for you.",,,https://evaglory.com,"No. 33, Hsiang Ho rd.,, 427",Tan Tzu Dist,
Everad Adhesives SAS,915,"Inspired by our “Sticking ideas” signature, Everad develops smart multi-technology bonding solutions for industry and ideas that “stick” perfectly to what our customers want. Our skills set focuses on the development, production and marketing of specialist adhesives. We have a multi-technology expertise : water-based adhesives, reactive systems, hot-melt adhesives.",,,https://everad-adhesives.com,"PARC D ACTIVITES DE LA MOSSIG, 67520",MARLENHEIM,
F-Grip,1126,"F-GRIP Adhesives develops a thermally reversible adhesive film combining high bonding strength (18MPa) with clean, on-demand debonding. A new company with technology validated in precision workholding, now exploring temporary bonding, component separation, repair and recycling. Visit our stand for a live demonstration.",,,,"Araba Kalea 45, 20800",Zarautz,
F6 Adhesive Tape & PSA,900,,,,,,,
Fecken-Kirfel GmbH & Co. KG,612,"Founded in 1870, family company Fecken-Kirfel produces precise and efficient cutting machines for flexible foam, solid plastics as rubber and neoprene, rigid foam and cork. The key ingredient in the quality and accuracy of our FK machines is our exceptional level of in-house production depth.",,,https://fecken-kirfel.de,"Prager Ring 1–15, 52070",Aachen,
