company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Circulus,Stand: 1C33,"CIRCULUS is an AI and robotics education company dedicated to “AI Education for Everyone.” We specialize in Physical AI–based learning solutions that integrate robotics, generative AI, and on-device AI technologies to deliver practical, future-ready education. Our core offerings include a humanoid AI coding robot (pibo), an on-device AI kit (pibrain), and a generative AI platform (Canvers), enabling students to design, build, and interact with intelligent systems in real-world contexts. CIRCULUS develops project-based learning (PBL) programs that encourage students to define problems and create solutions through hands-on experiences. Our solutions are optimized for K–12 education, supporting both students and educators with standardized resources and training. By combining Physical AI, digital literacy, and real-world problem-solving, CIRCULUS is building a scalable and inclusive AI education ecosystem.",,,https://circul.us,,Korea,
Class Of Your Own,Stand: 1D11-E10,"Class Of Your Own (COYO) is an award-winning social enterprise that helps schools prepare learners for the careers and challenges of the future through innovative, project-based education. Our internationally recognised Design Engineer Construct! (DEC) programme inspires young people to explore architecture, engineering, construction and the wider built environment while developing the knowledge, skills and mindsets needed in a rapidly changing world. Designed for learners aged 4–18, DEC aligns with the English National Curriculum, and the IB Middle Years Programme (MYP), making it an ideal addition to international school curricula. Through authentic design challenges based on real-world projects, students develop critical thinking, creativity, collaboration, digital literacy and sustainability awareness while applying STEM learning in meaningful contexts. Beyond curriculum resources, COYO provides comprehensive teacher professional development, implementation support and opportunities to connect schools with industry professionals and universities. Delivered in leading international schools across Europe, the Middle East and Asia, DEC enables schools to strengthen STEM provision, enhance careers education and develop globally minded, future-ready learners. By connecting education with industry, Class Of Your Own empowers students to become the architects, engineers, designers and innovators who will shape a more sustainable and resilient future.",,,,,United Kingdom Website www.classofyourown.com/,https://uk.linkedin.com/company/classofyourown
ClassLink,Stand: SPONSOR,"ClassLink is the global leader in identity and access management for education. School systems around the world rely on ClassLink for access, automation, and analytics products that create more time for learning. Education leaders turn to ClassLink for evidence on screen time and how edtech usage connects with student outcomes. ClassLink empowers 25 million students and staff in over 3,000 school systems. Visit classlink.com to learn more.",,,https://classlink.com,,Clifton,
Data Harvest,Stand: 1D30,"Data Harvest has supported science education for more than 40 years, since pioneering science-based data capture technology in the UK in 1983. Its combination of hardware and software helps schools deliver engaging, hands-on science learning while supporting the shift to digital education. The company’s wireless sensor technology enables students to visualise scientific concepts that are often invisible, turning abstract ideas into meaningful learning experiences. By collecting and analysing real-time data, students develop critical thinking, problem-solving, and investigative skills while learning to formulate questions, test hypotheses, and draw evidence-based conclusions. Data Harvest’s EasySense2 software and wireless sensing solutions use Bluetooth technology and work across iOS, Android, Windows, Chromebook, and macOS devices. Suitable for individual, teacher-led, and collaborative learning, the platform supports science education throughout a student’s academic journey, helping inspire future scientists, engineers, and innovators",,,https://data-harvest.co.uk,,United Kingdom Website data-harvest.co.uk,
"Department for Business, Innovation, Science and Trade",Stand: Sponsor,,,,,,United Kingdom,
Edmentum,Stand: 1D11-E10,"Edmentum partners with schools to accelerate learner growth and expand opportunity through trusted K–Career curriculum, assessment, and instruction solutions. With more than 60 years of innovation in education, we put educators first, helping them understand learner needs, individualize learning, and strengthen student outcomes wherever learning occurs. From building strong foundations and supporting multilingual learners to expanding course access, diploma pathways, university readiness, and career exploration, our flexible solutions support progress across the learner journey. By combining research-informed technology, actionable insight, practical support, and long-term partnership, Edmentum helps schools deliver consistent, scalable and inclusive learning experiences across classrooms and campuses. Working with educators worldwide, we are committed to moving education forward and preparing every learner with the confidence, knowledge, and opportunities they need for what comes next.",,,https://edmentum.com,,Melton Mowbray,
Efekta Education Ltd,Stand: 1D11-E10,"Efekta Education Group is an innovative EdTech company focused on improving educational outcomes at scale - helping students learn faster and go further by making personal tutoring affordable and accessible in public and private school systems. Efekta is an EF (Education First) company. EF is one of the leading global education providers and has been pioneering experiential language learning through international language travel since 1965. Efekta has taken that experience, reach, and data to provide the world’s largest online platform for teaching English in school systems at scale. We supercharge both teachers and students with our AI-powered curriculum, AI personal tutor for Students, and Classroom AI tools for Teachers. Our technology is based on data and experience from the world’s largest online English school and 60 years of leadership in the field of immersive education. Our immersive AI adapts in real-time to each learner’s needs. To date, Efekta’s technology has taught over 24 million people and is currently used by more than four million active students, 25,000 teachers, 3,000 corporate clients, and several governments worldwide. Efekta is addressing global challenges of accessibility, quality, and teacher shortages, with plans to add 100 million students in the next 3-5 years.",,,,,London,
ETUTE,Stand: S3,"ETute is an all-in-one school management solution for K-12 schools with built in AI assistance for admissions, academics and timetabling, examinations, fee collection, library, transport, payroll, visitors and parent communication in one mobile-first system, built for multi-branch groups. What sets ETute apart is ""NILI"", its built-in AI assistant. Instead of hunting through reports, staff simply ask: ""Which teachers haven't submitted lesson plans?"" · ""What's our fee collection percentage?"" A parent asks, ""How is my child doing?"" NILI answers from the school's live records in seconds. NILI is built to be trusted, not just clever. Every answer comes from your real data it never guesses and says so when it doesn't know. Each user sees only what their role permits, enforced at the database. And NILI never changes anything on its own: it drafts the action, a human confirms.",,,https://etute.in,,India,
Excellence Online Academy,Stand: 1D11-E10,"Excellence Online Academy is a UK-based education and skills development provider that develops and delivers high-quality online programmes designed to prepare young people and professionals for success in a rapidly changing world. Our programmes in English language learning, entrepreneurship, leadership, innovation, financial literacy, and professional development equip learners with the future-ready knowledge, skills, and mindset needed to thrive in education, employment, and entrepreneurship. We offer flexible learning solutions that can be delivered live by our expert educators or licensed to schools and educational organisations, enabling them to integrate engaging, curriculum-aligned programmes into their existing provision. Designed to be practical, interactive, and easy to implement, our programmes foster communication, creativity, critical thinking, collaboration, leadership, and entrepreneurial mindsets. As a Cambridge English Qualifications Preparation Centre and Cambridge Placement Test Centre, we are committed to maintaining high educational standards while expanding access to quality learning globally. Excellence Online Academy collaborates with international organisations, educators, and industry experts to deliver innovative learning experiences and build meaningful partnerships that expand access to high-quality education and empower learners to succeed in an increasingly interconnected world.",,,,,United Kingdom,
Faria Education Group,Stand: 1B35,"We empower schools and learners worldwide with integrated, intelligent, human-centered technology, and learning solutions that transform education, making it better in every sense. We deliver a comprehensive ecosystem of seamlessly connected tools that streamline school operations, enhance teaching and learning, and enable data-informed decision-making at every level. Whether it's unlocking insights through AI-powered analytics, fostering communication across school communities, or personalizing learning at scale, we are the trusted partner for forward-thinking schools. Guided by decades of experience and a relentless pursuit of better, we shape our solutions to local needs while scaling globally, ensuring that every school, educator, learner, and family thrives.",,,https://faria.org,,United Kingdom,
