exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,event_location,profile_url,event_source
ENERGETYKA.PLUS,energetyka.plus,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 122,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ENERGYA POLSKA SP. Z O.O.,energya.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 27,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ENSTO POL SP. Z O.O.,ensto.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 31,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ESMETRIC GROUP SP. Z O.O.,esmetric.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 99,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ETC PLUS SP. Z O.O.,etc.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 29,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ETI POLAM SP. Z O.O.,etipolam.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 46,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
EURO PRO GROUP SP. Z O.O.,europro.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
FABRYKA APARATURY ELEKTROMECHANICZNEJ FANINA S.A.,fanina.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 106,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
FABRYKA KABLI ELPAR SP. Z O.O.,elpar.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 85,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
FAEN SP. Z O.O.,faen.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 2,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
FINDER POLSKA SP. Z O.O.,findernet.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 83,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
FLASHNET SA,flashnet-us.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 81,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
FUNDUSZ PORĘCZEŃ KREDYTOWYCH SP. Z O.O.,fpkjg.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 90 A,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
